Aligner,Metric,Mean,Std,Min,Max,Count
mea,column_identity,0.9053107831098237,0.1683750672763255,0.4507042253521127,1.0,9
viterbi,column_identity,0.8980730329372909,0.16628659920603572,0.4507042253521127,1.0,9
mea,f1,0.9516678112107014,0.06449188100676695,0.8235294117647058,1.0,9
viterbi,f1,0.9440565572599849,0.06080029554815324,0.8484848484848485,1.0,9
mea,precision,0.9502607053259836,0.06682380563590931,0.8235294117647058,1.0,9
viterbi,precision,0.9426494513752672,0.06309892663246587,0.835820895522388,1.0,9
mea,recall,0.9531182126611031,0.06226330053202294,0.8235294117647058,1.0,9
viterbi,recall,0.9455069587103865,0.05861971139157706,0.8529411764705882,1.0,9
mea,sensitivity,0.9531182126611031,0.06226330053202294,0.8235294117647058,1.0,9
viterbi,sensitivity,0.9455069587103865,0.05861971139157706,0.8529411764705882,1.0,9
mea,specificity,0.9992936645715537,0.0009678494391139702,0.9975160422272822,1.0,9
viterbi,specificity,0.9991862713596975,0.0009320743043034692,0.9975871901732836,1.0,9
