Aligner,Metric,Mean,Std,Min,Max,Count
mea,column_identity,0.8539511370101498,0.25992329420467314,0.056291390728476824,1.0,368
viterbi,column_identity,0.8536664537814649,0.2602165000654949,0.04961832061068702,1.0,368
mea,f1,0.9299851818516641,0.15051147763250233,0.0,1.0,368
viterbi,f1,0.9269933018879458,0.15355796545323533,0.022598870056497175,1.0,368
mea,precision,0.928009870258569,0.15271077783481518,0.0,1.0,368
viterbi,precision,0.9250947674390362,0.15552611749981782,0.020942408376963352,1.0,368
mea,recall,0.932186741117039,0.1482850783225,0.0,1.0,368
viterbi,recall,0.9291059797693589,0.1515611258724319,0.024539877300613498,1.0,368
mea,sensitivity,0.932186741117039,0.1482850783225,0.0,1.0,368
viterbi,sensitivity,0.9291059797693589,0.1515611258724319,0.024539877300613498,1.0,368
mea,specificity,0.9993668254393111,0.0013623005953237973,0.9889162561576355,1.0,368
viterbi,specificity,0.9993441853675706,0.0013622525377115582,0.9886083743842364,1.0,368
