Aligner,Metric,Mean,Std,Min,Max,Count
mea,column_identity,0.8450211681643164,0.2651978242667991,0.046822742474916385,1.0,547
viterbi,column_identity,0.8454359716574052,0.26559305816680456,0.0648854961832061,1.0,547
mea,f1,0.9225518271776904,0.1528914566879605,0.0,1.0,547
viterbi,f1,0.9197181141991615,0.1565651502488128,0.0,1.0,547
mea,precision,0.9200574793939653,0.15582379623122652,0.0,1.0,547
viterbi,precision,0.9172232383962636,0.15944833678600148,0.0,1.0,547
mea,recall,0.9253165652491118,0.14995538686857668,0.0,1.0,547
viterbi,recall,0.922470788893233,0.1536846260684273,0.0,1.0,547
mea,sensitivity,0.9253165652491118,0.14995538686857668,0.0,1.0,547
viterbi,sensitivity,0.922470788893233,0.1536846260684273,0.0,1.0,547
mea,specificity,0.999324410985171,0.0013323672669874264,0.9889162561576355,1.0,547
viterbi,specificity,0.9992998463752205,0.0013642568433709058,0.9886083743842364,1.0,547
