Aligner,Metric,Mean,Std,Min,Max,Count
mea,column_identity,0.843894776672461,0.2660452329964676,0.046822742474916385,1.0,547
viterbi,column_identity,0.8454359716574052,0.26559305816680456,0.0648854961832061,1.0,547
mea,f1,0.9223400509705071,0.15299281994582156,0.0,1.0,547
viterbi,f1,0.9197181141991615,0.1565651502488128,0.0,1.0,547
mea,precision,0.9198934746579829,0.15583075848604813,0.0,1.0,547
viterbi,precision,0.9172232383962636,0.15944833678600148,0.0,1.0,547
mea,recall,0.9250548530865335,0.15016419959921723,0.0,1.0,547
viterbi,recall,0.922470788893233,0.1536846260684273,0.0,1.0,547
mea,sensitivity,0.9250548530865335,0.15016419959921723,0.0,1.0,547
viterbi,sensitivity,0.922470788893233,0.1536846260684273,0.0,1.0,547
mea,specificity,0.9993240528076536,0.0013298102810648136,0.9889162561576355,1.0,547
viterbi,specificity,0.9992998463752205,0.0013642568433709058,0.9886083743842364,1.0,547
